Nome,Estrelas,Avaliações,Cozinha,Preço,Segurança,Reviews
 Coco Bambu Conceito Pátio Paulista,5.0,109,Frutos do mar,2.5,0,"['“Almoço”', '“Aniversário dos meus gêmeos ♡”']"
 Coco Bambu Conceito Vila Olímpia,5.0,563,"Brasileira, Frutos do mar",2.5,1,"['“Atendimento Kaio Marquês”', '“Atendimento Kaio Marques”']"
 HUB Food Art & Lounge,5.0,1021,"Brasileira, Internacional",4.0,1,"['“Aniversário de casamento”', '“Comida impecável!”']"
 Picanharia Dos Amigos,5.0,1003,"Steakhouse, Brasileira",2.5,1,"['“Sensacional”', '“Picanharia dos Amigos - Mais que recomendo”']"
 Coco Bambu Market Place,4.5,4961,"Brasileira, Bar",2.5,1,"['“Avaliação Matheus”', '“Jantar”']"
 Coco Bambu Anália Franco,5.0,12710,"Brasileira, Frutos do mar",2.5,1,"['“Almoço lua de mel”', '“Aniversário”']"
 Djapa,4.5,5153,"Japonesa, Frutos do mar",2.5,1,"['“Muito bom!!”', '“Bom!”']"
 Coco Bambu Anhembi,5.0,10826,Brasileira,4.0,1,"['“Almoco”', '“Comemoração de aniversario”']"
 Lhamas Restaurante,5.0,507,"Peruana, Frutos do mar",2.5,1,"['“Melhor restaurante peruano de São Paula”', '“Excelente!”']"
 TasteIT Restaurante,5.0,1037,"Bar, Internacional",2.5,1,"['“Experiência perfeita!”', '“Experiência incrível”']"
 Picanharia dos Amigos,5.0,451,"Steakhouse, Brasileira",2.5,1,"['“Indico.”', '“Robson é 10!”']"
 Coco Bambu Conceito Eldorado,5.0,303,Brasileira,2.5,1,"['“Vale a visita!”', '“Almoço casal”']"
 Mexicaníssimo,4.5,1418,"Mexicana, Latina",2.5,1,"['“Ótimo atendimento”', '“Queremos voltar!”']"
 Coco Bambu SP Market,5.0,3148,Brasileira,2.5,1,"['“Almoço de negócios”', '“Almoço de aniversário”']"
 Miss Saigon Restaurante Vietnamita,4.5,803,"Asiática, Vietnamita",2.5,1,"['“Excelente”', '“Comida Gostoso!”']"
 Kauai Restaurante Havaiano Poke,5.0,160,"Frutos do mar, Havaiana",2.5,0,"['“Almoço tranquilo”', '“Melhor poke de SP”']"
 Fuego Celeste Parrillada,5.0,310,"Steakhouse, Latina",2.5,1,"['“FANTÁSTICO!”', '“Carne de primera, restaurante de...”']"
 Le Bife,4.5,3113,"Steakhouse, Brasileira",2.5,1,"['“A vida é feita de experiências, OUSE!”', '“Aniversário da japonegrinha Alyssa”']"
 Soggiorno,5.0,261,"Italiana, Pizza",2.5,1,"['“Atendimento nota 1000”', '“Vale a pena comer as pizzas”']"
 Seen São Paulo,4.5,2491,"Bar, Contemporânea",4.0,1,"['“Excelente atendimento.”', '“Restaurante incrível!!”']"
 kome Moema,5.0,130,"Japonesa, Frutos do mar",1.0,1,"['“Excelente”', '“Excepcional!”']"
 Picanharia dos Amigos - Unidade Vila Leopoldina,5.0,374,"Steakhouse, Brasileira",2.5,1,"['“Almoço”', '“Pocanharia vila Leopoldina”']"
 Peixe Ao Cubo,5.0,155,"Culinária de fusão japonesa, Japonesa",2.5,0,"['“Melhor comida japa”', '“Peixe ao cubo nunca...”']"
 Picanharia dos Amigos - Campo Belo,5.0,114,"Brasileira, Churrasco",2.5,1,"['“Reunião de família”', '“Clima gostoso, atendimento simpático!”']"
 Camarada Camarão - Cidade São Paulo,5.0,157,"Brasileira, Internacional",4.0,1,"['“Excelente”', '“Atenciosos”']"
 Adega Santiago,5.0,704,"Frutos do mar, Mediterrânea",2.5,0,"['“Frutos do Mar”', '“Excelente! Sabor !”']"
 Varanda Faria Lima,5.0,401,"Steakhouse, Brasileira",4.0,1,"['“Ótima experiência”', '“Excelente atendimento através do maître...”']"
 CipóRestô,5.0,194,Brasileira,2.5,0,"['“Atendimento”', '“Muito gostoso”']"
 Mexicaníssimo Vila Madalena,5.0,164,Mexicana,1.0,1,"['“Restaurante mexicanissimo”', '“Excelente!!”']"
 LIVING LOUNGE BAR & SUSHI,5.0,179,"Japonesa, Frutos do mar",2.5,0,"['“Excelente, nota 10!”', '“Experiência Incrível”']"
 Coco Bambu JK,4.5,11398,"Sul-americana, Brasileira",2.5,1,"['“Uma ótima experiência.”', '“Incrível”']"
 Mexicaníssimo,4.5,420,"Mexicana, Latina",2.5,1,"['“Lugar muito prazeroso”', '“Incrível!”']"
 Casarìa Sp,5.0,150,Contemporânea,2.5,1,"['“Perfeito”', '“Jantar”']"
 La Griglia,5.0,162,"Steakhouse, Brasileira",2.5,1,"['“Almoço comemorativo!”', '“Serviço excelente”']"
 Johnny Rockets,5.0,305,"Americana, Fast food",2.5,0,"['“Amei”', '“Adoramos os apimentados então nem se...”']"
 I LOVE BURGER,5.0,228,"Americana, Lanchonete",1.0,0,"['“Um a deliciosa refeição, com um ótimo...”', '“Hamburgueria TOP”']"
 Adega Santiago Shopping Cidade Jardim,4.5,1222,"Frutos do mar, Mediterrânea",4.0,1,"['“Otimo atendimento... Amei”', '“Jantar”']"
 Wanderlust Bar e Cozinha,5.0,125,"Brasileira, Bar",1.0,1,"['“Excelente”', '“Excelente opção no centro! Excelente...”']"
 Fogo De Chão Moema,4.5,1692,"Steakhouse, Brasileira",4.0,0,"['“Atendimento impecável”', '“Excelente!”']"
 Bistrot De Paris,4.5,1310,Francesa,2.5,1,"['“Experiência incrível”', '“Realmente muito bom”']"
 Sevillano Bistro,4.5,366,"Frutos do mar, Mediterrânea",2.5,0,"['“Surpresa muito boa!”', '“Me senti na Espanha”']"
 Bacalhau Vinho e Cia Barra Funda,4.5,283,"Portuguesa, Wine Bar",2.5,1,"['“Bacalhau mais que perfeito...”', '“ÓTIMO BACALHAU /CAMARÃO / POLVO.”']"
 Fogo De Chão,4.5,2721,Churrasco,4.0,0,"['“Ótimo atendimento”', '“Atendimento excelente”']"
 I LOVE BURGER,5.0,264,"Americana, Lanchonete",2.5,0,"['“Delivery I love Burger”', '“Burger delicioso”']"
 Adega Santiago,4.5,1472,"Frutos do mar, Mediterrânea",4.0,1,"['“Qualidade e gusto”', '“Ambiente seguro e agradável”']"
 Tadashii Japanese Restaurant,4.5,1323,"Japonesa, Frutos do mar",2.5,1,"['“Avaliação do restaurante tadashii em SP”', '“Melhor restaurante japonês de Sp!”']"
 Elle 5,4.5,174,Italiana,2.5,1,"['“Take Away com direito a bate-papo com a...”', '“Experiência inesquecível em SP”']"
 Fogo De Chão,4.5,2739,"Steakhouse, Brasileira",4.0,0,"['“Fogo de chão!”', '“Atendimento impecável”']"
 Bar Quintal Da Mooca,4.5,311,"Brasileira, Bar",2.5,0,"['“Simpatia da equipe”', '“lugar maravilhoso, fui amei e levei meus...”']"
 Le Manjue Organique - Vila Nova Conceição,4.5,1339,"Saudável, Brasileira",2.5,0,"['“Melhor vegano/vegetariano de SP”', '“Verdadeira experiência gastronômica.”']"
 Vila das Rosas - Pinheiros,4.5,169,"Saudável, Brasileira",2.5,0,"['“Incrível”', '“Sempre somos muito bem recebidos”']"
 Supra di Mauro Maia,4.5,661,"Italiana, Europeia",2.5,0,"['“Restaurante espetacular!”', '“excelente!”']"
 Varanda JK Iguatemi,4.5,721,"Churrasco, Grelhados",4.0,1,"['“Elogio atendimento Pedro Vitor/Silverio”', '“Atendimento Impecável”']"
